train_condition,test_noise,metric_type,std,min,max,mean,median,iqr
Ideal,0.0-0.0,mae,0.00040969517970165803,6.491307834347532e-06,0.0071295626760671735,0.0003608792138231256,0.0002591354757865734,0.00036238744068466615
A,0.0-0.0,mae,0.0002942603476797232,7.99829011086337e-06,0.0036359383223746886,0.0003236833344286892,0.00024467850017592565,0.0003444454824080363
B,0.0-0.0,mae,0.0005156748994360094,8.572858364152187e-06,0.006522018435152153,0.0005681607035959983,0.00043357434558336633,0.0005989259184234028
Ideal,0.0-1.0,mae,0.0013821392513180117,1.2730693636522879e-05,0.009670260320465517,0.001485269104101365,0.001020277005383202,0.00141243097178063
A,0.0-1.0,mae,0.0013559978410720044,1.2744020495268323e-05,0.009280753540464166,0.0014351235394465627,0.000982196722450624,0.0013369199539820273
B,0.0-1.0,mae,0.0005712638326677346,9.826599645473664e-06,0.0067314270822745725,0.0007525378654251451,0.0006185496356592476,0.0006861016096104398
Ideal,0.0-0.0,djs,0.005416203046619447,1.5227732968357235e-07,0.23696208028442983,0.0013556067024126058,0.00028618232199882903,0.0008663743914346059
A,0.0-0.0,djs,0.0017394858522345406,2.0656385503781465e-07,0.08834786252736203,0.0008314052957061876,0.0002571545240953598,0.0008076094118530643
B,0.0-0.0,djs,0.005263933650760356,8.865383585421648e-08,0.18078565237657004,0.002319589038343654,0.0007453352579532955,0.0022140071801989266
Ideal,0.0-1.0,djs,0.03949585915482459,2.9052552703096326e-07,0.4193253413438487,0.01800436108358469,0.003843308292323741,0.013187794219372974
A,0.0-1.0,djs,0.038812402472206575,3.461857701043858e-07,0.4321056431185346,0.017006379777200976,0.003510911684073889,0.011551304265098433
B,0.0-1.0,djs,0.0062981451096360995,1.879601920830259e-07,0.19426480533368715,0.0033519493033285085,0.0013586982705012893,0.00337432718651225
Ideal,0.0-0.0,fae,0.01737690612539047,9.716055992218421e-09,0.5623152211288446,0.007102025608874706,0.0037401771343057166,0.006421154191809024
A,0.0-0.0,fae,0.006611522884000037,2.490080861662218e-08,0.184939661877557,0.005889438858679487,0.003733003391015411,0.006172014523933896
B,0.0-0.0,fae,0.011572116597536061,4.5380227951986804e-08,0.20009175709679328,0.011094493334659868,0.007556100166120502,0.012632851396727908
Ideal,0.0-1.0,fae,0.03986997478931265,2.078210525541034e-08,0.6068579598039533,0.029757088649785775,0.016839929688592825,0.028899510404252746
A,0.0-1.0,fae,0.0361736091528038,6.36837241097002e-09,0.4520055536840547,0.02863593344365324,0.01678934730633145,0.028512957401225787
B,0.0-1.0,fae,0.015727798880199585,5.3269884398150764e-08,0.22204622461851284,0.017367693843981676,0.012993899105274808,0.01857780787467022
