train_condition,test_flux,test_noise,std,min,max,mean,median,iqr
Ideal,0.01-1.0,0.0-0.0,0.00040969517970165803,6.491307834347532e-06,0.0071295626760671735,0.0003608792138231256,0.0002591354757865734,0.00036238744068466615
A,0.01-1.0,0.0-0.0,0.0002942603476797232,7.99829011086337e-06,0.0036359383223746886,0.0003236833344286892,0.00024467850017592565,0.0003444454824080363
B,0.01-1.0,0.0-0.0,0.0005156748994360094,8.572858364152187e-06,0.006522018435152153,0.0005681607035959983,0.00043357434558336633,0.0005989259184234028
Ideal,0.01-1.0,0.0-1.0,0.0013821392513180117,1.2730693636522879e-05,0.009670260320465517,0.001485269104101365,0.001020277005383202,0.00141243097178063
A,0.01-1.0,0.0-1.0,0.0013559978410720044,1.2744020495268323e-05,0.009280753540464166,0.0014351235394465627,0.000982196722450624,0.0013369199539820273
B,0.01-1.0,0.0-1.0,0.0005712638326677346,9.826599645473664e-06,0.0067314270822745725,0.0007525378654251451,0.0006185496356592476,0.0006861016096104398
Ideal,1.0-1.0,0.0-0.0,0.00029154489807132155,9.173710234952327e-06,0.0037926988532774072,0.00031948720802693435,0.0002445548328637385,0.0003437222073276098
A,1.0-1.0,0.0-0.0,0.0002896986793207613,8.40615500587093e-06,0.003651384452920503,0.0003134233559416762,0.00023381794527670727,0.0003376840683581352
B,1.0-1.0,0.0-0.0,0.0005138941628651142,1.1328398249086275e-05,0.006529179984425473,0.0005632471308361944,0.00042806169378886423,0.000594472655288409
Ideal,1.0-1.0,0.0-1.0,0.00034607991005419336,8.32818032391349e-06,0.004361693073993928,0.00047410622856904294,0.00039791725946347937,0.0004242186188608453
A,1.0-1.0,0.0-1.0,0.0003471055689050084,1.0806819176651762e-05,0.004332511098977315,0.00046910928679099053,0.0003902444194694733,0.0004257814182555035
B,1.0-1.0,0.0-1.0,0.0005120339751418697,6.208878343731135e-06,0.006540768490950575,0.0005796788084926766,0.0004457515377719832,0.0005899374869882993
Ideal,0.1-0.1,0.0-0.0,0.00029448527818872654,6.438095241686635e-06,0.003782187284841091,0.00032398489499653796,0.00024861172857735365,0.0003494672473533363
A,0.1-0.1,0.0-0.0,0.00028981445012935236,7.842572573404504e-06,0.0036145774912026887,0.0003141824633069029,0.0002348133221844357,0.00033770375639171273
B,0.1-0.1,0.0-0.0,0.0005137695556874246,1.0521585319037528e-05,0.0065215630950338655,0.000563663618477345,0.00042870178108072747,0.0005939919601169416
Ideal,0.1-0.1,0.0-1.0,0.000868431500984328,1.4468561548603256e-05,0.007570645768085173,0.0012309309575060695,0.0010185083521102598,0.0009612901306777858
A,0.1-0.1,0.0-1.0,0.0008856497776009394,1.8146074191895736e-05,0.0071400521640685825,0.0012162085638557055,0.0009899750900501962,0.0009650222667470152
B,0.1-0.1,0.0-1.0,0.0005186195392080315,1.0189563800064271e-05,0.006566174439499693,0.0006889839321690257,0.00056499882546906,0.0006087194424218127
Ideal,0.01-0.01,0.0-0.0,0.0009710463444942412,1.0783202677064093e-05,0.007444556495844964,0.0006779015536436969,0.00035827732991693096,0.0004906121479302683
A,0.01-0.01,0.0-0.0,0.0003333998953619855,1.2783051307166197e-05,0.004769530773128774,0.0004045157541221035,0.00032311032058469837,0.00039640733963241896
B,0.01-0.01,0.0-0.0,0.0005405270682764133,9.507296064894281e-06,0.006545582077862578,0.0006115019351169991,0.00047541744828483536,0.0006441797531813556
Ideal,0.01-0.01,0.0-1.0,0.0018285869275928544,4.662335417397049e-05,0.010650323334259765,0.003471138822352972,0.003191268275434157,0.002694125270010322
A,0.01-0.01,0.0-1.0,0.0018600260645905843,7.788067762336112e-05,0.010053764902046656,0.003181415175882939,0.0027479202047739626,0.0026803959478635506
B,0.01-0.01,0.0-1.0,0.0006830144610862765,1.9776685477322767e-05,0.0072846363821872364,0.0011880004968459277,0.0010589536873310483,0.0008645292340145065
